date,orgn fs1,orgn fs2,orgn fs3,orgn gw1,orgn gw2,orgn gw3
8/22/2018,4.74E-09,4.74E-09,4.74E-09,4.74E-09,4.74E-09,4.74E-09
8/23/2018,4.97E-09,4.97E-09,4.97E-09,4.97E-09,4.97E-09,4.97E-09
8/24/2018,6.30E-09,6.30E-09,6.30E-09,6.30E-09,6.30E-09,6.30E-09
8/25/2018,5.37E-09,5.37E-09,5.37E-09,5.37E-09,5.37E-09,5.37E-09
8/26/2018,4.89E-09,4.89E-09,4.89E-09,4.89E-09,4.89E-09,4.89E-09
8/27/2018,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09
8/28/2018,5.45E-09,5.45E-09,5.45E-09,5.45E-09,5.45E-09,5.45E-09
8/29/2018,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09
8/30/2018,4.86E-09,4.86E-09,4.86E-09,4.86E-09,4.86E-09,4.86E-09
8/31/2018,5.87E-09,5.87E-09,5.87E-09,5.87E-09,5.87E-09,5.87E-09
9/1/2018,6.42E-09,6.42E-09,6.42E-09,6.42E-09,6.42E-09,6.42E-09
9/2/2018,5.48E-09,5.48E-09,5.48E-09,5.48E-09,5.48E-09,5.48E-09
9/3/2018,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09
9/4/2018,5.30E-09,5.30E-09,5.30E-09,5.30E-09,5.30E-09,5.30E-09
9/5/2018,5.15E-09,5.15E-09,5.15E-09,5.15E-09,5.15E-09,5.15E-09
9/6/2018,5.93E-09,5.93E-09,5.93E-09,5.93E-09,5.93E-09,5.93E-09
9/7/2018,5.31E-09,5.31E-09,5.31E-09,5.31E-09,5.31E-09,5.31E-09
9/8/2018,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09
9/9/2018,5.32E-09,5.32E-09,5.32E-09,5.32E-09,5.32E-09,5.32E-09
9/10/2018,6.09E-09,6.09E-09,6.09E-09,6.09E-09,6.09E-09,6.09E-09
9/11/2018,6.46E-09,6.46E-09,6.46E-09,6.46E-09,6.46E-09,6.46E-09
9/12/2018,5.36E-09,5.36E-09,5.36E-09,5.36E-09,5.36E-09,5.36E-09
9/13/2018,6.02E-09,6.02E-09,6.02E-09,6.02E-09,6.02E-09,6.02E-09
9/14/2018,5.42E-09,5.42E-09,5.42E-09,5.42E-09,5.42E-09,5.42E-09
9/15/2018,5.29E-09,5.29E-09,5.29E-09,5.29E-09,5.29E-09,5.29E-09
9/16/2018,6.14E-09,6.14E-09,6.14E-09,6.14E-09,6.14E-09,6.14E-09
9/17/2018,5.48E-09,5.48E-09,5.48E-09,5.48E-09,5.48E-09,5.48E-09
9/18/2018,6.10E-09,6.10E-09,6.10E-09,6.10E-09,6.10E-09,6.10E-09
9/19/2018,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09
9/20/2018,5.32E-09,5.32E-09,5.32E-09,5.32E-09,5.32E-09,5.32E-09
9/21/2018,5.20E-09,5.20E-09,5.20E-09,5.20E-09,5.20E-09,5.20E-09
9/22/2018,5.11E-09,5.11E-09,5.11E-09,5.11E-09,5.11E-09,5.11E-09
9/23/2018,4.88E-09,4.88E-09,4.88E-09,4.88E-09,4.88E-09,4.88E-09
9/24/2018,4.65E-09,4.65E-09,4.65E-09,4.65E-09,4.65E-09,4.65E-09
9/25/2018,4.74E-09,4.74E-09,4.74E-09,4.74E-09,4.74E-09,4.74E-09
9/26/2018,4.59E-09,4.59E-09,4.59E-09,4.59E-09,4.59E-09,4.59E-09
9/27/2018,4.49E-09,4.49E-09,4.49E-09,4.49E-09,4.49E-09,4.49E-09
9/28/2018,4.43E-09,4.43E-09,4.43E-09,4.43E-09,4.43E-09,4.43E-09
9/29/2018,4.46E-09,4.46E-09,4.46E-09,4.46E-09,4.46E-09,4.46E-09
9/30/2018,5.48E-09,5.48E-09,5.48E-09,5.48E-09,5.48E-09,5.48E-09
10/1/2018,5.54E-09,5.54E-09,5.54E-09,5.54E-09,5.54E-09,5.54E-09
10/2/2018,5.64E-09,5.64E-09,5.64E-09,5.64E-09,5.64E-09,5.64E-09
10/3/2018,6.24E-09,6.24E-09,6.24E-09,6.24E-09,6.24E-09,6.24E-09
10/4/2018,5.76E-09,5.76E-09,5.76E-09,5.76E-09,5.76E-09,5.76E-09
10/5/2018,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
10/6/2018,5.56E-09,5.56E-09,5.56E-09,5.56E-09,5.56E-09,5.56E-09
10/7/2018,6.03E-09,6.03E-09,6.03E-09,6.03E-09,6.03E-09,6.03E-09
10/8/2018,5.80E-09,5.80E-09,5.80E-09,5.80E-09,5.80E-09,5.80E-09
10/9/2018,5.60E-09,5.60E-09,5.60E-09,5.60E-09,5.60E-09,5.60E-09
10/10/2018,6.37E-09,6.37E-09,6.37E-09,6.37E-09,6.37E-09,6.37E-09
10/11/2018,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09
10/12/2018,5.27E-09,5.27E-09,5.27E-09,5.27E-09,5.27E-09,5.27E-09
10/13/2018,5.08E-09,5.08E-09,5.08E-09,5.08E-09,5.08E-09,5.08E-09
10/14/2018,5.14E-09,5.14E-09,5.14E-09,5.14E-09,5.14E-09,5.14E-09
10/15/2018,5.90E-09,5.90E-09,5.90E-09,5.90E-09,5.90E-09,5.90E-09
10/16/2018,6.33E-09,6.33E-09,6.33E-09,6.33E-09,6.33E-09,6.33E-09
10/17/2018,5.71E-09,5.71E-09,5.71E-09,5.71E-09,5.71E-09,5.71E-09
10/18/2018,6.23E-09,6.23E-09,6.23E-09,6.23E-09,6.23E-09,6.23E-09
10/19/2018,5.73E-09,5.73E-09,5.73E-09,5.73E-09,5.73E-09,5.73E-09
10/20/2018,5.53E-09,5.53E-09,5.53E-09,5.53E-09,5.53E-09,5.53E-09
10/21/2018,5.53E-09,5.53E-09,5.53E-09,5.53E-09,5.53E-09,5.53E-09
10/22/2018,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09
10/23/2018,5.54E-09,5.54E-09,5.54E-09,5.54E-09,5.54E-09,5.54E-09
10/24/2018,5.31E-09,5.31E-09,5.31E-09,5.31E-09,5.31E-09,5.31E-09
10/25/2018,4.87E-09,4.87E-09,4.87E-09,4.87E-09,4.87E-09,4.87E-09
10/26/2018,4.78E-09,4.78E-09,4.78E-09,4.78E-09,4.78E-09,4.78E-09
10/27/2018,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09
10/28/2018,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09
10/29/2018,5.85E-09,5.85E-09,5.85E-09,5.85E-09,5.85E-09,5.85E-09
10/30/2018,5.50E-09,5.50E-09,5.50E-09,5.50E-09,5.50E-09,5.50E-09
10/31/2018,5.69E-09,5.69E-09,5.69E-09,5.69E-09,5.69E-09,5.69E-09
11/1/2018,6.00E-09,6.00E-09,6.00E-09,6.00E-09,6.00E-09,6.00E-09
11/2/2018,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09
11/3/2018,5.95E-09,5.95E-09,5.95E-09,5.95E-09,5.95E-09,5.95E-09
11/4/2018,5.99E-09,5.99E-09,5.99E-09,5.99E-09,5.99E-09,5.99E-09
11/5/2018,6.02E-09,6.02E-09,6.02E-09,6.02E-09,6.02E-09,6.02E-09
11/6/2018,5.65E-09,5.65E-09,5.65E-09,5.65E-09,5.65E-09,5.65E-09
11/7/2018,5.26E-09,5.26E-09,5.26E-09,5.26E-09,5.26E-09,5.26E-09
11/8/2018,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09
11/9/2018,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
11/10/2018,6.31E-09,6.31E-09,6.31E-09,6.31E-09,6.31E-09,6.31E-09
11/11/2018,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
11/12/2018,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09
11/13/2018,6.16E-09,6.16E-09,6.16E-09,6.16E-09,6.16E-09,6.16E-09
11/14/2018,6.15E-09,6.15E-09,6.15E-09,6.15E-09,6.15E-09,6.15E-09
11/15/2018,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
