date,solp fs1,solp fs2,solp fs3,solp gw1,solp gw2,solp gw3
7/20/2018,4.44E-07,4.44E-07,4.44E-07,4.44E-07,4.44E-07,4.44E-07
7/21/2018,2.61E-07,2.61E-07,2.61E-07,2.61E-07,2.61E-07,2.61E-07
7/22/2018,4.05E-07,4.05E-07,4.05E-07,4.05E-07,4.05E-07,4.05E-07
7/23/2018,4.51E-07,4.51E-07,4.51E-07,4.51E-07,4.51E-07,4.51E-07
7/24/2018,4.74E-07,4.74E-07,4.74E-07,4.74E-07,4.74E-07,4.74E-07
7/25/2018,2.98E-07,2.98E-07,2.98E-07,2.98E-07,2.98E-07,2.98E-07
7/26/2018,4.31E-07,4.31E-07,4.31E-07,4.31E-07,4.31E-07,4.31E-07
7/27/2018,3.03E-07,3.03E-07,3.03E-07,3.03E-07,3.03E-07,3.03E-07
7/28/2018,2.48E-07,2.48E-07,2.48E-07,2.48E-07,2.48E-07,2.48E-07
7/29/2018,4.29E-07,4.29E-07,4.29E-07,4.29E-07,4.29E-07,4.29E-07
7/30/2018,2.77E-07,2.77E-07,2.77E-07,2.77E-07,2.77E-07,2.77E-07
7/31/2018,4.47E-07,4.47E-07,4.47E-07,4.47E-07,4.47E-07,4.47E-07
8/1/2018,5.18E-07,5.18E-07,5.18E-07,5.18E-07,5.18E-07,5.18E-07
8/2/2018,3.34E-07,3.34E-07,3.34E-07,3.34E-07,3.34E-07,3.34E-07
8/3/2018,2.67E-07,2.67E-07,2.67E-07,2.67E-07,2.67E-07,2.67E-07
8/4/2018,4.84E-07,4.84E-07,4.84E-07,4.84E-07,4.84E-07,4.84E-07
8/5/2018,5.52E-07,5.52E-07,5.52E-07,5.52E-07,5.52E-07,5.52E-07
8/6/2018,3.26E-07,3.26E-07,3.26E-07,3.26E-07,3.26E-07,3.26E-07
8/7/2018,4.82E-07,4.82E-07,4.82E-07,4.82E-07,4.82E-07,4.82E-07
8/8/2018,5.56E-07,5.56E-07,5.56E-07,5.56E-07,5.56E-07,5.56E-07
8/9/2018,3.57E-07,3.57E-07,3.57E-07,3.57E-07,3.57E-07,3.57E-07
8/10/2018,2.73E-07,2.73E-07,2.73E-07,2.73E-07,2.73E-07,2.73E-07
8/11/2018,3.00E-07,3.00E-07,3.00E-07,3.00E-07,3.00E-07,3.00E-07
8/12/2018,2.81E-07,2.81E-07,2.81E-07,2.81E-07,2.81E-07,2.81E-07
8/13/2018,2.56E-07,2.56E-07,2.56E-07,2.56E-07,2.56E-07,2.56E-07
8/14/2018,5.27E-07,5.27E-07,5.27E-07,5.27E-07,5.27E-07,5.27E-07
8/15/2018,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07
8/16/2018,2.57E-07,2.57E-07,2.57E-07,2.57E-07,2.57E-07,2.57E-07
8/17/2018,4.95E-07,4.95E-07,4.95E-07,4.95E-07,4.95E-07,4.95E-07
8/18/2018,3.05E-07,3.05E-07,3.05E-07,3.05E-07,3.05E-07,3.05E-07
8/19/2018,5.21E-07,5.21E-07,5.21E-07,5.21E-07,5.21E-07,5.21E-07
8/20/2018,3.11E-07,3.11E-07,3.11E-07,3.11E-07,3.11E-07,3.11E-07
8/21/2018,2.31E-07,2.31E-07,2.31E-07,2.31E-07,2.31E-07,2.31E-07
8/22/2018,2.05E-07,2.05E-07,2.05E-07,2.05E-07,2.05E-07,2.05E-07
8/23/2018,2.45E-07,2.45E-07,2.45E-07,2.45E-07,2.45E-07,2.45E-07
8/24/2018,5.71E-07,5.71E-07,5.71E-07,5.71E-07,5.71E-07,5.71E-07
8/25/2018,3.30E-07,3.30E-07,3.30E-07,3.30E-07,3.30E-07,3.30E-07
8/26/2018,2.17E-07,2.17E-07,2.17E-07,2.17E-07,2.17E-07,2.17E-07
8/27/2018,5.87E-07,5.87E-07,5.87E-07,5.87E-07,5.87E-07,5.87E-07
8/28/2018,3.99E-07,3.99E-07,3.99E-07,3.99E-07,3.99E-07,3.99E-07
8/29/2018,3.13E-07,3.13E-07,3.13E-07,3.13E-07,3.13E-07,3.13E-07
8/30/2018,2.22E-07,2.22E-07,2.22E-07,2.22E-07,2.22E-07,2.22E-07
8/31/2018,6.69E-07,6.69E-07,6.69E-07,6.69E-07,6.69E-07,6.69E-07
9/1/2018,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07
9/2/2018,5.26E-07,5.26E-07,5.26E-07,5.26E-07,5.26E-07,5.26E-07
9/3/2018,3.39E-07,3.39E-07,3.39E-07,3.39E-07,3.39E-07,3.39E-07
9/4/2018,3.61E-07,3.61E-07,3.61E-07,3.61E-07,3.61E-07,3.61E-07
9/5/2018,3.16E-07,3.16E-07,3.16E-07,3.16E-07,3.16E-07,3.16E-07
9/6/2018,7.39E-07,7.39E-07,7.39E-07,7.39E-07,7.39E-07,7.39E-07
9/7/2018,4.70E-07,4.70E-07,4.70E-07,4.70E-07,4.70E-07,4.70E-07
9/8/2018,8.22E-07,8.22E-07,8.22E-07,8.22E-07,8.22E-07,8.22E-07
9/9/2018,5.25E-07,5.25E-07,5.25E-07,5.25E-07,5.25E-07,5.25E-07
9/10/2018,8.82E-07,8.82E-07,8.82E-07,8.82E-07,8.82E-07,8.82E-07
9/11/2018,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06
9/12/2018,5.65E-07,5.65E-07,5.65E-07,5.65E-07,5.65E-07,5.65E-07
9/13/2018,8.97E-07,8.97E-07,8.97E-07,8.97E-07,8.97E-07,8.97E-07
9/14/2018,5.56E-07,5.56E-07,5.56E-07,5.56E-07,5.56E-07,5.56E-07
9/15/2018,4.55E-07,4.55E-07,4.55E-07,4.55E-07,4.55E-07,4.55E-07
9/16/2018,9.14E-07,9.14E-07,9.14E-07,9.14E-07,9.14E-07,9.14E-07
9/17/2018,5.74E-07,5.74E-07,5.74E-07,5.74E-07,5.74E-07,5.74E-07
9/18/2018,9.53E-07,9.53E-07,9.53E-07,9.53E-07,9.53E-07,9.53E-07
9/19/2018,6.54E-07,6.54E-07,6.54E-07,6.54E-07,6.54E-07,6.54E-07
9/20/2018,5.05E-07,5.05E-07,5.05E-07,5.05E-07,5.05E-07,5.05E-07
9/21/2018,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07
9/22/2018,4.06E-07,4.06E-07,4.06E-07,4.06E-07,4.06E-07,4.06E-07
9/23/2018,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07
9/24/2018,2.90E-07,2.90E-07,2.90E-07,2.90E-07,2.90E-07,2.90E-07
9/25/2018,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07,3.32E-07
9/26/2018,2.67E-07,2.67E-07,2.67E-07,2.67E-07,2.67E-07,2.67E-07
9/27/2018,2.60E-07,2.60E-07,2.60E-07,2.60E-07,2.60E-07,2.60E-07
